year,mono-module ($/Wp),mono-cell ($/Wp),mono-wafer ($/Wp),poly-Si ($/Wp)
2015.04,0.72043446,0.384340886,0.251114179,0.105425662
2015.045,0.720641327,0.38433421,0.251198374,0.105487286
2015.05,0.720500372,0.384411548,0.250524427,0.105293567
2015.055,0.720661876,0.384048656,0.25003252,0.104425671
2015.06,0.721689023,0.38309729,0.25022818,0.103597629
2015.065,0.722697161,0.38241602,0.250131667,0.10346194
2015.07,0.718996229,0.382473074,0.249311003,0.103533065
2015.075,0.717211026,0.381782323,0.249130112,0.103508487
2015.08,0.717751986,0.38136246,0.249225511,0.103514267
2015.085,0.717755546,0.381493794,0.249192584,0.103513884
2015.09,0.718601752,0.381463783,0.249200274,0.103513233
2015.095,0.718693025,0.381466933,0.249199693,0.103514244
2015.1,0.718611153,0.381456867,0.249199657,0.103512156
2015.105,0.718652356,0.381507944,0.249197523,0.103515739
2015.11,0.71862647,0.381323129,0.249204658,0.103515624
2015.115,0.718639892,0.380213702,0.249191516,0.10348755
2015.12,0.71871552,0.378629569,0.249191921,0.103623195
2015.12746961,0.721987464,0.378702918,0.24929618,0.103143137
2015.12746961,0.721987464,0.377447395,0.248611134,0.102512569
2015.14584324,0.724855811,0.376623154,0.248210982,0.102552725
2015.15043391,0.724856907,0.376395831,0.248120098,0.101749672
2015.15962621,0.727723062,0.374752226,0.247278171,0.101514706
2015.1687692,0.717701378,0.374819827,0.247164397,0.101624079
2015.17335439,0.716270492,0.373641017,0.247924065,0.101593465
2015.18253026,0.714840701,0.372284865,0.248339673,0.101594399
2015.19628583,0.710548041,0.371675635,0.248207596,0.101579153
2015.20545074,0.706254285,0.370868122,0.248250921,0.101704946
2015.21001401,0.69909547,0.370105786,0.248290991,0.101104645
2015.21002497,0.701959434,0.369217282,0.247649479,0.100600757
2015.21917892,0.694801715,0.36899749,0.246767738,0.100574337
2015.22834383,0.690507959,0.368835947,0.246105893,0.099738402
2015.24211036,0.689079264,0.367908006,0.245179394,0.099620214
2015.25588237,0.689082551,0.367121054,0.243576448,0.099705795
2015.28,0.693859381,0.367120338,0.242719412,0.099672218
2015.285,0.692826912,0.366681666,0.24189237,0.099680666
2015.29,0.700128858,0.36571,0.241509327,0.099679564
2015.295,0.709300353,0.365120648,0.241436307,0.099685629
2015.3,0.707985809,0.365169595,0.240597264,0.09965287
2015.30188219,0.713437205,0.365182427,0.24041493,0.099760483
2015.32026678,0.719169516,0.365164493,0.241291013,0.099511405
2015.32026678,0.719169516,0.365187044,0.241236537,0.098705641
2015.34781628,0.720608072,0.365147826,0.24050395,0.098667627
2015.35237408,0.712017274,0.36518199,0.240564255,0.098851748
2015.35238504,0.714881239,0.365329811,0.239783879,0.098258672
2015.35693736,0.704858459,0.363837397,0.239105991,0.097727472
2015.35694284,0.706290441,0.363222855,0.2377016,0.097717571
2015.35694832,0.707722423,0.362891655,0.236621638,0.096877855
2015.36607488,0.693404792,0.361221355,0.236706193,0.096822674
2015.36609131,0.697700739,0.360504818,0.235870903,0.096395419
2015.36609679,0.699132721,0.359106563,0.235717076,0.095572521
2015.36610227,0.700564704,0.357489715,0.235784884,0.094680248
2015.37066007,0.691973906,0.35586762,0.235836215,0.093078139
2015.37525074,0.691975001,0.354489439,0.235691475,0.092105655
2015.38900084,0.68625036,0.353765116,0.234868075,0.092048261
2015.38901179,0.689114324,0.352086995,0.234717214,0.091747721
2015.39357507,0.681955508,0.351799998,0.235065012,0.090867779
2015.39815478,0.67909264,0.351121423,0.234101812,0.090103454
2015.40274545,0.679093735,0.349697044,0.232828114,0.08926354
2015.41652842,0.681960987,0.349838319,0.232913203,0.089073194
2015.4165339,0.683392969,0.34914081,0.231276982,0.08915707
2015.41653938,0.684824951,0.348176953,0.231024671,0.089135165
2015.421141,0.687690011,0.347863242,0.23026327,0.089134883
2015.42574263,0.690555071,0.347909853,0.22887479,0.089117819
2015.42575358,0.693419036,0.347936139,0.229087736,0.08924578
2015.42575358,0.693419036,0.348064441,0.229101914,0.088660603
2015.43035521,0.696284096,0.346536546,0.228982701,0.088138247
2015.43495684,0.699149156,0.346004668,0.229446274,0.088124846
2015.43955298,0.700582234,0.345540857,0.230342165,0.087292783
2015.43956394,0.703446198,0.344013396,0.231057366,0.087131485
2015.44417105,0.70774324,0.344135453,0.231087649,0.08734354
2015.44876719,0.709176318,0.342759788,0.229610109,0.086918363
2015.46,0.708116677,0.341538992,0.228484136,0.086185824
2015.465,0.709829413,0.340919642,0.227752008,0.08624781
2015.47,0.710106896,0.340111325,0.227115743,0.086369635
2015.475,0.709864348,0.339338987,0.227165111,0.085658107
2015.48,0.710233462,0.33846978,0.226490362,0.085281559
2015.485,0.710977115,0.338343802,0.225509164,0.085165908
2015.49,0.710915173,0.33808104,0.225242673,0.084337012
2015.495,0.71164775,0.33713262,0.225097685,0.084305061
2015.5,0.711967695,0.336413923,0.224271733,0.084373444
2015.505,0.712038047,0.336379471,0.224221927,0.084313299
2015.51,0.713125599,0.336505379,0.224402141,0.084397466
2015.515,0.714718615,0.336100933,0.223863442,0.084302162
2015.52,0.715431541,0.335130306,0.22321559,0.083481813
2015.525,0.71701462,0.33449974,0.223341303,0.083293634
2015.53,0.717535849,0.334606206,0.223386784,0.083507496
2015.535,0.716579226,0.33314473,0.22263954,0.083115121
2015.54,0.716718043,0.332393469,0.222241387,0.082371121
2015.545,0.71686484,0.332623449,0.222453521,0.082413691
2015.55,0.715596189,0.332598973,0.22227331,0.082448617
2015.555,0.714101967,0.332622553,0.221450342,0.082394034
2015.56,0.71394343,0.331848918,0.221376848,0.082503826
2015.565,0.711406379,0.331535751,0.22132525,0.082297714
2015.57,0.702326298,0.331654823,0.221722149,0.081482137
2015.575,0.700374693,0.331621507,0.222429821,0.081432559
2015.58,0.698659282,0.331626659,0.222362943,0.081463306
2015.585,0.696064452,0.331627741,0.222434609,0.081545193
2015.59,0.695268898,0.331626522,0.221784969,0.081292994
2015.595,0.691963215,0.331626971,0.221275027,0.080492622
2015.6,0.690414892,0.331627067,0.22147652,0.080479302
2015.605,0.687544575,0.331626839,0.221381327,0.080529993
